# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 11 05:48:18 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN hip_name:       HIP Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_disc:        Year of Discovery
# COLUMN pl_pelink:      Link to Exoplanet Encyclopaedia
#
rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_msinij,pl_radj,pl_dens,pl_orbincl,pl_kepflag,ra,dec,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,pl_name,pl_disc,pl_pelink
964,Kepler-221,e,Transit,4,18.36991700,0.130000,,,,0.235,,,1,296.654755,46.835270,,,5243.00,0.7200,0.82,,,Kepler-221 e,2014,http://exoplanet.eu/catalog/kepler-221_e/
965,Kepler-222,b,Transit,3,3.93698100,0.048000,,,,0.282,,,1,287.906097,46.937767,,,5433.00,,0.87,,,Kepler-222 b,2014,http://exoplanet.eu/catalog/kepler-222_b/
966,Kepler-222,c,Transit,3,10.08881000,0.091000,,,,0.414,,,1,287.906097,46.937767,,,5433.00,,0.87,,,Kepler-222 c,2014,http://exoplanet.eu/catalog/kepler-222_c/
967,Kepler-222,d,Transit,3,28.08191200,0.180000,,,,0.329,,,1,287.906097,46.937767,,,5433.00,,0.87,,,Kepler-222 d,2014,http://exoplanet.eu/catalog/kepler-222_d/
968,Kepler-223,b,Transit,4,7.38410800,0.073000,,,,0.151,,,1,298.318359,47.279495,,,5829.00,,1.02,,,Kepler-223 b,2014,http://exoplanet.eu/catalog/kepler-223_b/
969,Kepler-223,c,Transit,4,9.84818300,0.088000,,,,0.178,,,1,298.318359,47.279495,,,5829.00,,1.02,,,Kepler-223 c,2014,http://exoplanet.eu/catalog/kepler-223_c/
970,Kepler-223,d,Transit,4,14.78875900,0.116000,,,,0.266,,,1,298.318359,47.279495,,,5829.00,,1.02,,,Kepler-223 d,2014,http://exoplanet.eu/catalog/kepler-223_d/
971,Kepler-223,e,Transit,4,19.72173400,0.140000,,,,0.214,,,1,298.318359,47.279495,,,5829.00,,1.02,,,Kepler-223 e,2014,http://exoplanet.eu/catalog/kepler-223_e/
972,Kepler-224,b,Transit,4,3.13292400,0.038000,,,,0.124,,,1,290.934296,47.357601,,,5018.00,0.7400,0.68,,,Kepler-224 b,2014,http://exoplanet.eu/catalog/kepler-224_b/
973,Kepler-224,c,Transit,4,5.92500300,0.058000,,,,0.278,,,1,290.934296,47.357601,,,5018.00,0.7400,0.68,,,Kepler-224 c,2014,http://exoplanet.eu/catalog/kepler-224_c/
974,Kepler-224,d,Transit,4,11.34939300,0.089000,,,,0.205,,,1,290.934296,47.357601,,,5018.00,0.7400,0.68,,,Kepler-224 d,2014,http://exoplanet.eu/catalog/kepler-224_d/
975,Kepler-224,e,Transit,4,18.64357700,0.124000,,,,0.176,,,1,290.934296,47.357601,,,5018.00,0.7400,0.68,,,Kepler-224 e,2014,http://exoplanet.eu/catalog/kepler-224_e/
976,Kepler-225,b,Transit,2,6.73897500,0.056000,,,,0.107,,,1,292.193970,47.457096,,,3682.00,,0.48,,,Kepler-225 b,2014,http://exoplanet.eu/catalog/kepler-225_b/
977,Kepler-225,c,Transit,2,18.79423400,0.111000,,,,0.164,,,1,292.193970,47.457096,,,3682.00,,0.48,,,Kepler-225 c,2014,http://exoplanet.eu/catalog/kepler-225_c/
978,Kepler-226,b,Transit,3,3.94099700,0.047000,,,,0.138,,,1,292.376129,47.880989,,,5571.00,0.8600,0.80,,,Kepler-226 b,2014,http://exoplanet.eu/catalog/kepler-226_b/
979,Kepler-226,c,Transit,3,5.34955500,0.058000,,,,0.203,,,1,292.376129,47.880989,,,5571.00,0.8600,0.80,,,Kepler-226 c,2014,http://exoplanet.eu/catalog/kepler-226_c/
980,Kepler-226,d,Transit,3,8.10904400,0.076000,,,,0.109,,,1,292.376129,47.880989,,,5571.00,0.8600,0.80,,,Kepler-226 d,2014,http://exoplanet.eu/catalog/kepler-226_d/
981,Kepler-227,b,Transit,2,9.48801500,0.090000,,,,0.277,,,1,291.934235,48.141651,,,5854.00,,1.09,,,Kepler-227 b,2014,http://exoplanet.eu/catalog/kepler-227_b/
982,Kepler-227,c,Transit,2,54.41869400,0.290000,,,,0.271,,,1,291.934235,48.141651,,,5854.00,,1.09,,,Kepler-227 c,2014,http://exoplanet.eu/catalog/kepler-227_c/
983,Kepler-228,b,Transit,3,2.56654600,0.038000,,,,0.136,,,1,296.286133,48.224667,,,6043.00,,1.01,,,Kepler-228 b,2014,http://exoplanet.eu/catalog/kepler-228_b/
984,Kepler-228,c,Transit,3,4.13444400,0.052000,,,,0.241,,,1,296.286133,48.224667,,,6043.00,,1.01,,,Kepler-228 c,2014,http://exoplanet.eu/catalog/kepler-228_c/
985,Kepler-228,d,Transit,3,11.09428600,0.101000,,,,0.360,,,1,296.286133,48.224667,,,6043.00,,1.01,,,Kepler-228 d,2014,http://exoplanet.eu/catalog/kepler-228_d/
986,Kepler-229,b,Transit,3,6.25297200,0.062000,,,,0.196,,,1,286.999481,48.375797,,,5120.00,,0.73,,,Kepler-229 b,2014,http://exoplanet.eu/catalog/kepler-229_b/
987,Kepler-229,c,Transit,3,16.06863800,0.117000,,,,0.439,,,1,286.999481,48.375797,,,5120.00,,0.73,,,Kepler-229 c,2014,http://exoplanet.eu/catalog/kepler-229_c/
988,Kepler-229,d,Transit,3,41.19491200,0.220000,,,,0.343,,,1,286.999481,48.375797,,,5120.00,,0.73,,,Kepler-229 d,2014,http://exoplanet.eu/catalog/kepler-229_d/
989,Kepler-23,b,Transit,3,7.10730000,0.075000,,0.80000,,0.170,,,1,294.218933,49.479225,800.00,,5828.00,1.1100,1.55,,,Kepler-23 b,2011,http://exoplanet.eu/catalog/kepler-23_b/
990,Kepler-23,c,Transit,3,10.74210000,0.099000,,2.70000,,0.285,,,1,294.218933,49.479225,800.00,,5828.00,1.1100,1.55,,,Kepler-23 c,2011,http://exoplanet.eu/catalog/kepler-23_c/
991,Kepler-23,d,Transit,3,15.27429900,0.124000,,,,0.196,,,1,294.218933,49.479225,800.00,,5828.00,1.1100,1.55,,,Kepler-23 d,2014,http://exoplanet.eu/catalog/kepler-23_d/
992,Kepler-230,b,Transit,2,32.62555500,0.191000,,,,0.380,,,1,285.718536,48.505859,,,5588.00,,0.82,,,Kepler-230 b,2014,http://exoplanet.eu/catalog/kepler-230_b/
993,Kepler-230,c,Transit,2,91.77324200,0.380000,,,,0.182,,,1,285.718536,48.505859,,,5588.00,,0.82,,,Kepler-230 c,2014,http://exoplanet.eu/catalog/kepler-230_c/
994,Kepler-231,b,Transit,2,10.06527500,0.074000,,,,0.154,,,1,293.973358,50.531914,,,3767.00,0.5800,0.49,,,Kepler-231 b,2014,http://exoplanet.eu/catalog/kepler-231_b/
995,Kepler-231,c,Transit,2,19.27156600,0.114000,,,,0.172,,,1,293.973358,50.531914,,,3767.00,0.5800,0.49,,,Kepler-231 c,2014,http://exoplanet.eu/catalog/kepler-231_c/
996,Kepler-232,b,Transit,2,4.43122200,0.054000,,,,0.275,,,1,295.816162,51.121742,,,5847.00,,0.97,,,Kepler-232 b,2014,http://exoplanet.eu/catalog/kepler-232_b/
997,Kepler-232,c,Transit,2,11.37934900,0.101000,,,,0.342,,,1,295.816162,51.121742,,,5847.00,,0.97,,,Kepler-232 c,2014,http://exoplanet.eu/catalog/kepler-232_c/
998,Kepler-233,b,Transit,2,8.47238200,0.077000,,,,0.217,,,1,296.366516,51.319523,,,5360.00,,0.76,,,Kepler-233 b,2014,http://exoplanet.eu/catalog/kepler-233_b/
999,Kepler-233,c,Transit,2,60.41895500,0.287000,,,,0.242,,,1,296.366516,51.319523,,,5360.00,,0.76,,,Kepler-233 c,2014,http://exoplanet.eu/catalog/kepler-233_c/
1000,Kepler-234,b,Transit,2,2.71150600,0.040000,,,,0.330,,,1,291.653503,38.494659,,,6224.00,,1.11,,,Kepler-234 b,2014,http://exoplanet.eu/catalog/kepler-234_b/
1001,Kepler-234,c,Transit,2,7.21205000,0.077000,,,,0.313,,,1,291.653503,38.494659,,,6224.00,,1.11,,,Kepler-234 c,2014,http://exoplanet.eu/catalog/kepler-234_c/
1002,Kepler-235,b,Transit,4,3.34022200,0.037000,,,,0.199,,,1,286.079102,39.278313,,,4255.00,0.5900,0.55,,,Kepler-235 b,2014,http://exoplanet.eu/catalog/kepler-235_b/
1003,Kepler-235,c,Transit,4,7.82490400,0.065000,,,,0.114,,,1,286.079102,39.278313,,,4255.00,0.5900,0.55,,,Kepler-235 c,2014,http://exoplanet.eu/catalog/kepler-235_c/
1004,Kepler-235,d,Transit,4,20.06054800,0.122000,,,,0.183,,,1,286.079102,39.278313,,,4255.00,0.5900,0.55,,,Kepler-235 d,2014,http://exoplanet.eu/catalog/kepler-235_d/
1005,Kepler-235,e,Transit,4,46.18366900,0.213000,,,,0.198,,,1,286.079102,39.278313,,,4255.00,0.5900,0.55,,,Kepler-235 e,2014,http://exoplanet.eu/catalog/kepler-235_e/
1006,Kepler-236,b,Transit,2,8.29561100,0.065000,,,,0.140,,,1,283.866364,39.898090,,,3750.00,0.5600,0.51,,,Kepler-236 b,2014,http://exoplanet.eu/catalog/kepler-236_b/
1007,Kepler-236,c,Transit,2,23.96812700,0.132000,,,,0.178,,,1,283.866364,39.898090,,,3750.00,0.5600,0.51,,,Kepler-236 c,2014,http://exoplanet.eu/catalog/kepler-236_c/
1008,Kepler-237,b,Transit,2,4.71510600,0.050000,,,,0.126,,,1,283.221375,40.421833,,,4861.00,0.7000,0.72,,,Kepler-237 b,2014,http://exoplanet.eu/catalog/kepler-237_b/
1009,Kepler-237,c,Transit,2,8.10363600,0.071000,,,,0.186,,,1,283.221375,40.421833,,,4861.00,0.7000,0.72,,,Kepler-237 c,2014,http://exoplanet.eu/catalog/kepler-237_c/
1010,Kepler-238,b,Transit,5,2.09087600,0.034000,,,,0.154,,,1,287.897125,40.637814,,,5751.00,1.0600,1.43,,,Kepler-238 b,2014,http://exoplanet.eu/catalog/kepler-238_b/
1011,Kepler-238,c,Transit,5,6.15555700,0.069000,,,,0.213,,,1,287.897125,40.637814,,,5751.00,1.0600,1.43,,,Kepler-238 c,2014,http://exoplanet.eu/catalog/kepler-238_c/
1012,Kepler-238,d,Transit,5,13.23354900,0.115000,,,,0.274,,,1,287.897125,40.637814,,,5751.00,1.0600,1.43,,,Kepler-238 d,2014,http://exoplanet.eu/catalog/kepler-238_d/
1013,Kepler-238,e,Transit,5,23.65400000,,,0.53400,,0.500,,,1,287.897125,40.637814,,,5751.00,1.0600,1.43,,,Kepler-238 e,2013,http://exoplanet.eu/catalog/kepler-238_e/
1014,Kepler-238,f,Transit,5,50.44700000,,,0.04200,,0.178,,,1,287.897125,40.637814,,,5751.00,1.0600,1.43,,,Kepler-238 f,2013,http://exoplanet.eu/catalog/kepler-238_f/
1015,Kepler-239,b,Transit,2,11.76305100,0.095000,,,,0.208,,,1,294.202148,40.663406,,,4914.00,0.7400,0.76,,,Kepler-239 b,2014,http://exoplanet.eu/catalog/kepler-239_b/
1016,Kepler-239,c,Transit,2,56.22809800,0.268000,,,,0.224,,,1,294.202148,40.663406,,,4914.00,0.7400,0.76,,,Kepler-239 c,2014,http://exoplanet.eu/catalog/kepler-239_c/
1017,Kepler-24,b,Transit,4,8.14530000,0.080000,,1.60000,,0.214,,,1,290.413269,38.343754,1200.00,,5897.00,1.0300,1.29,,,Kepler-24 b,2011,http://exoplanet.eu/catalog/kepler-24_b/
1018,Kepler-24,c,Transit,4,12.33350000,0.106000,,1.60000,,0.250,,,1,290.413269,38.343754,1200.00,,5897.00,1.0300,1.29,,,Kepler-24 c,2011,http://exoplanet.eu/catalog/kepler-24_c/
1019,Kepler-24,d,Transit,4,4.24438400,0.051000,,,,0.149,,,1,290.413269,38.343754,1200.00,,5897.00,1.0300,1.29,,,Kepler-24 d,2014,http://exoplanet.eu/catalog/kepler-24_d/
1020,Kepler-24,e,Transit,4,18.99835500,0.138000,,,,0.248,,,1,290.413269,38.343754,1200.00,,5897.00,1.0300,1.29,,,Kepler-24 e,2014,http://exoplanet.eu/catalog/kepler-24_e/
1021,Kepler-240,b,Transit,2,4.14449500,0.048000,,,,0.122,,,1,291.158783,40.750263,,,4985.00,,0.74,,,Kepler-240 b,2014,http://exoplanet.eu/catalog/kepler-240_b/
1022,Kepler-240,c,Transit,2,7.95352800,0.074000,,,,0.196,,,1,291.158783,40.750263,,,4985.00,,0.74,,,Kepler-240 c,2014,http://exoplanet.eu/catalog/kepler-240_c/
1023,Kepler-241,b,Transit,2,12.71809200,0.094000,,,,0.208,,,1,292.913116,41.060921,,,4699.00,,0.67,,,Kepler-241 b,2014,http://exoplanet.eu/catalog/kepler-241_b/
1024,Kepler-241,c,Transit,2,36.06597800,0.189000,,,,0.229,,,1,292.913116,41.060921,,,4699.00,,0.67,,,Kepler-241 c,2014,http://exoplanet.eu/catalog/kepler-241_c/
1025,Kepler-242,b,Transit,2,8.20395000,0.075000,,,,0.233,,,1,286.565704,41.808403,,,5020.00,,0.85,,,Kepler-242 b,2014,http://exoplanet.eu/catalog/kepler-242_b/
1026,Kepler-242,c,Transit,2,14.49648100,0.109000,,,,0.178,,,1,286.565704,41.808403,,,5020.00,,0.85,,,Kepler-242 c,2014,http://exoplanet.eu/catalog/kepler-242_c/
1027,Kepler-243,b,Transit,2,5.71544200,0.062000,,,,0.219,,,1,285.110474,42.033958,,,5228.00,0.8900,0.84,,,Kepler-243 b,2014,http://exoplanet.eu/catalog/kepler-243_b/
1028,Kepler-243,c,Transit,2,20.02621800,0.142000,,,,0.178,,,1,285.110474,42.033958,,,5228.00,0.8900,0.84,,,Kepler-243 c,2014,http://exoplanet.eu/catalog/kepler-243_c/
1029,Kepler-244,b,Transit,3,4.31179200,0.050000,,,,0.246,,,1,287.242676,42.301369,,,5554.00,,0.80,,,Kepler-244 b,2014,http://exoplanet.eu/catalog/kepler-244_b/
1030,Kepler-244,c,Transit,3,9.76729200,0.087000,,,,0.183,,,1,287.242676,42.301369,,,5554.00,,0.80,,,Kepler-244 c,2014,http://exoplanet.eu/catalog/kepler-244_c/
1031,Kepler-244,d,Transit,3,20.05040100,0.140000,,,,0.206,,,1,287.242676,42.301369,,,5554.00,,0.80,,,Kepler-244 d,2014,http://exoplanet.eu/catalog/kepler-244_d/
1032,Kepler-245,b,Transit,3,7.49019000,0.071000,,,,0.229,,,1,291.638977,42.436317,,,5100.00,0.8000,0.80,,,Kepler-245 b,2014,http://exoplanet.eu/catalog/kepler-245_b/
1033,Kepler-245,c,Transit,3,17.46081200,0.124000,,,,0.194,,,1,291.638977,42.436317,,,5100.00,0.8000,0.80,,,Kepler-245 c,2014,http://exoplanet.eu/catalog/kepler-245_c/
1034,Kepler-245,d,Transit,3,36.27710800,0.202000,,,,0.270,,,1,291.638977,42.436317,,,5100.00,0.8000,0.80,,,Kepler-245 d,2014,http://exoplanet.eu/catalog/kepler-245_d/
1035,Kepler-246,b,Transit,2,4.60182000,0.052000,,,,0.209,,,1,296.483429,42.663429,,,5206.00,0.8600,0.83,,,Kepler-246 b,2014,http://exoplanet.eu/catalog/kepler-246_b/
1036,Kepler-246,c,Transit,2,11.18716100,0.095000,,,,0.134,,,1,296.483429,42.663429,,,5206.00,0.8600,0.83,,,Kepler-246 c,2014,http://exoplanet.eu/catalog/kepler-246_c/
1037,Kepler-247,b,Transit,3,3.33616000,0.042000,,,,0.146,,,1,288.642517,43.039291,,,5100.00,,0.77,,,Kepler-247 b,2014,http://exoplanet.eu/catalog/kepler-247_b/
1038,Kepler-247,c,Transit,3,9.43945200,0.084000,,,,0.365,,,1,288.642517,43.039291,,,5100.00,,0.77,,,Kepler-247 c,2014,http://exoplanet.eu/catalog/kepler-247_c/
1039,Kepler-247,d,Transit,3,20.47791200,0.140000,,,,0.352,,,1,288.642517,43.039291,,,5100.00,,0.77,,,Kepler-247 d,2014,http://exoplanet.eu/catalog/kepler-247_d/
1040,Kepler-248,b,Transit,2,6.30820500,0.066000,,,,0.269,,,1,293.061371,43.581356,,,5190.00,,0.83,,,Kepler-248 b,2014,http://exoplanet.eu/catalog/kepler-248_b/
1041,Kepler-248,c,Transit,2,16.23949400,0.123000,,,,0.363,,,1,293.061371,43.581356,,,5190.00,,0.83,,,Kepler-248 c,2014,http://exoplanet.eu/catalog/kepler-248_c/
1042,Kepler-249,b,Transit,3,3.30653900,0.035000,,,,0.097,,,1,296.985077,43.658524,,,3568.00,,0.48,,,Kepler-249 b,2014,http://exoplanet.eu/catalog/kepler-249_b/
1043,Kepler-249,c,Transit,3,7.11370200,0.058000,,,,0.135,,,1,296.985077,43.658524,,,3568.00,,0.48,,,Kepler-249 c,2014,http://exoplanet.eu/catalog/kepler-249_c/
1044,Kepler-249,d,Transit,3,15.36845900,0.097000,,,,0.140,,,1,296.985077,43.658524,,,3568.00,,0.48,,,Kepler-249 d,2014,http://exoplanet.eu/catalog/kepler-249_d/
1045,Kepler-25,b,Transit,3,6.23850000,0.068000,,12.70000,,0.232,,,1,286.638397,39.487892,,,6270.00,1.1900,1.31,,,Kepler-25 b,2011,http://exoplanet.eu/catalog/kepler-25_b/
1046,Kepler-25,c,Transit,3,12.72040000,0.110000,,4.16000,,0.401,,,1,286.638397,39.487892,,,6270.00,1.1900,1.31,,,Kepler-25 c,2011,http://exoplanet.eu/catalog/kepler-25_c/
1047,Kepler-25,d,Radial Velocity,3,123.00000000,,,0.28300,,,,,1,286.638397,39.487892,,,6270.00,1.1900,1.31,,,Kepler-25 d,2014,
1048,Kepler-250,b,Transit,3,4.14814100,0.048000,,,,0.101,,,1,289.594757,44.141953,,,5160.00,0.8000,0.81,,,Kepler-250 b,2014,http://exoplanet.eu/catalog/kepler-250_b/
1049,Kepler-250,c,Transit,3,7.15680400,0.069000,,,,0.203,,,1,289.594757,44.141953,,,5160.00,0.8000,0.81,,,Kepler-250 c,2014,http://exoplanet.eu/catalog/kepler-250_c/
1050,Kepler-250,d,Transit,3,17.64831200,0.127000,,,,0.194,,,1,289.594757,44.141953,,,5160.00,0.8000,0.81,,,Kepler-250 d,2014,http://exoplanet.eu/catalog/kepler-250_d/
1051,Kepler-251,b,Transit,4,4.79093600,0.053000,,,,0.119,,,1,296.566223,44.105865,,,5526.00,0.9100,0.89,,,Kepler-251 b,2014,http://exoplanet.eu/catalog/kepler-251_b/
1052,Kepler-251,c,Transit,4,16.51404300,0.122000,,,,0.247,,,1,296.566223,44.105865,,,5526.00,0.9100,0.89,,,Kepler-251 c,2014,http://exoplanet.eu/catalog/kepler-251_c/
1053,Kepler-251,d,Transit,4,30.13300100,0.182000,,,,0.247,,,1,296.566223,44.105865,,,5526.00,0.9100,0.89,,,Kepler-251 d,2014,http://exoplanet.eu/catalog/kepler-251_d/
1054,Kepler-251,e,Transit,4,99.64016100,0.404000,,,,0.247,,,1,296.566223,44.105865,,,5526.00,0.9100,0.89,,,Kepler-251 e,2014,http://exoplanet.eu/catalog/kepler-251_e/
1055,Kepler-252,b,Transit,2,6.66839100,0.058000,,,,0.110,,,1,295.579346,44.545963,,,4208.00,0.5200,0.55,,,Kepler-252 b,2014,http://exoplanet.eu/catalog/kepler-252_b/
1056,Kepler-252,c,Transit,2,10.84846300,0.080000,,,,0.192,,,1,295.579346,44.545963,,,4208.00,0.5200,0.55,,,Kepler-252 c,2014,http://exoplanet.eu/catalog/kepler-252_c/
1057,Kepler-253,b,Transit,3,3.78398600,0.046000,,,,0.145,,,1,291.841980,44.858089,,,5208.00,,0.79,,,Kepler-253 b,2014,http://exoplanet.eu/catalog/kepler-253_b/
1058,Kepler-253,c,Transit,3,10.28195100,0.089000,,,,0.236,,,1,291.841980,44.858089,,,5208.00,,0.79,,,Kepler-253 c,2014,http://exoplanet.eu/catalog/kepler-253_c/
1059,Kepler-253,d,Transit,3,18.11986900,0.130000,,,,0.283,,,1,291.841980,44.858089,,,5208.00,,0.79,,,Kepler-253 d,2014,http://exoplanet.eu/catalog/kepler-253_d/
1060,Kepler-254,b,Transit,3,5.82666200,0.064000,,,,0.345,,,1,288.164703,45.816505,,,5957.00,,0.91,,,Kepler-254 b,2014,http://exoplanet.eu/catalog/kepler-254_b/
1061,Kepler-254,c,Transit,3,12.41218300,0.105000,,,,0.192,,,1,288.164703,45.816505,,,5957.00,,0.91,,,Kepler-254 c,2014,http://exoplanet.eu/catalog/kepler-254_c/
1062,Kepler-254,d,Transit,3,18.74647700,0.139000,,,,0.223,,,1,288.164703,45.816505,,,5957.00,,0.91,,,Kepler-254 d,2014,http://exoplanet.eu/catalog/kepler-254_d/
1063,Kepler-255,b,Transit,2,5.71460600,0.063000,,,,0.138,,,1,296.064240,45.976841,,,5573.00,0.9700,0.93,,,Kepler-255 b,2014,http://exoplanet.eu/catalog/kepler-255_b/
1064,Kepler-255,c,Transit,2,9.94604700,0.092000,,,,0.267,,,1,296.064240,45.976841,,,5573.00,0.9700,0.93,,,Kepler-255 c,2014,http://exoplanet.eu/catalog/kepler-255_c/
1065,Kepler-256,b,Transit,4,1.62049300,0.027000,,,,0.142,,,1,292.580444,46.097389,,,5551.00,1.0200,1.30,,,Kepler-256 b,2014,http://exoplanet.eu/catalog/kepler-256_b/
1066,Kepler-256,c,Transit,4,3.38802000,0.045000,,,,0.192,,,1,292.580444,46.097389,,,5551.00,1.0200,1.30,,,Kepler-256 c,2014,http://exoplanet.eu/catalog/kepler-256_c/
1067,Kepler-256,d,Transit,4,5.83917200,0.064000,,,,0.221,,,1,292.580444,46.097389,,,5551.00,1.0200,1.30,,,Kepler-256 d,2014,http://exoplanet.eu/catalog/kepler-256_d/
1068,Kepler-256,e,Transit,4,10.68157200,0.096000,,,,0.210,,,1,292.580444,46.097389,,,5551.00,1.0200,1.30,,,Kepler-256 e,2014,http://exoplanet.eu/catalog/kepler-256_e/
1069,Kepler-257,b,Transit,3,2.38266700,0.034000,,,,0.233,,,1,297.315979,46.023270,,,5180.00,,1.04,,,Kepler-257 b,2014,http://exoplanet.eu/catalog/kepler-257_b/
1070,Kepler-257,c,Transit,3,6.58148400,0.066000,,,,0.483,,,1,297.315979,46.023270,,,5180.00,,1.04,,,Kepler-257 c,2014,http://exoplanet.eu/catalog/kepler-257_c/
1071,Kepler-257,d,Transit,3,24.66455100,0.160000,,,,0.442,,,1,297.315979,46.023270,,,5180.00,,1.04,,,Kepler-257 d,2014,http://exoplanet.eu/catalog/kepler-257_d/
1072,Kepler-258,b,Transit,2,13.19722000,0.103000,,,,0.362,,,1,294.068481,46.579330,,,4942.00,0.8000,0.92,,,Kepler-258 b,2014,http://exoplanet.eu/catalog/kepler-258_b/
1073,Kepler-258,c,Transit,2,33.65307900,0.193000,,,,0.322,,,1,294.068481,46.579330,,,4942.00,0.8000,0.92,,,Kepler-258 c,2014,http://exoplanet.eu/catalog/kepler-258_c/
1074,Kepler-259,b,Transit,2,8.11531700,0.079000,,,,0.250,,,1,288.211914,46.615005,,,5938.00,,0.90,,,Kepler-259 b,2014,http://exoplanet.eu/catalog/kepler-259_b/
1075,Kepler-259,c,Transit,2,36.92493100,0.217000,,,,0.241,,,1,288.211914,46.615005,,,5938.00,,0.90,,,Kepler-259 c,2014,http://exoplanet.eu/catalog/kepler-259_c/
1076,Kepler-26,b,Transit,4,12.28290000,0.085000,,0.38000,,0.321,,,1,284.941010,46.566540,,,4486.00,0.6500,0.57,,,Kepler-26 b,2011,http://exoplanet.eu/catalog/kepler-26_b/
1077,Kepler-26,c,Transit,4,17.25130000,0.107000,,0.37500,,0.321,,,1,284.941010,46.566540,,,4486.00,0.6500,0.57,,,Kepler-26 c,2011,http://exoplanet.eu/catalog/kepler-26_c/
1078,Kepler-26,d,Transit,4,3.54391900,0.039000,,,,0.095,,,1,284.941010,46.566540,,,4486.00,0.6500,0.57,,,Kepler-26 d,2014,http://exoplanet.eu/catalog/kepler-26_d/
1079,Kepler-26,e,Transit,4,46.82791500,0.220000,,,,0.215,,,1,284.941010,46.566540,,,4486.00,0.6500,0.57,,,Kepler-26 e,2014,http://exoplanet.eu/catalog/kepler-26_e/
1080,Kepler-260,b,Transit,2,8.18739900,0.075000,,,,0.179,,,1,291.925964,38.014122,,,5250.00,0.8800,0.86,,,Kepler-260 b,2014,http://exoplanet.eu/catalog/kepler-260_b/
1081,Kepler-260,c,Transit,2,76.05017800,0.332000,,,,0.155,,,1,291.925964,38.014122,,,5250.00,0.8800,0.86,,,Kepler-260 c,2014,http://exoplanet.eu/catalog/kepler-260_c/
1082,Kepler-261,b,Transit,2,10.38122700,0.088000,,,,0.194,,,1,291.364777,37.609184,,,5098.00,0.8700,0.79,,,Kepler-261 b,2014,http://exoplanet.eu/catalog/kepler-261_b/
1083,Kepler-261,c,Transit,2,24.57085800,0.156000,,,,0.178,,,1,291.364777,37.609184,,,5098.00,0.8700,0.79,,,Kepler-261 c,2014,http://exoplanet.eu/catalog/kepler-261_c/
1084,Kepler-262,b,Transit,2,13.06085500,0.108000,,,,0.121,,,1,290.728668,37.252651,,,5841.00,,0.88,,,Kepler-262 b,2014,http://exoplanet.eu/catalog/kepler-262_b/
1085,Kepler-262,c,Transit,2,21.85372200,0.152000,,,,0.146,,,1,290.728668,37.252651,,,5841.00,,0.88,,,Kepler-262 c,2014,http://exoplanet.eu/catalog/kepler-262_c/
1086,Kepler-263,b,Transit,2,16.56808700,0.120000,,,,0.238,,,1,292.469757,37.567795,,,5265.00,,0.79,,,Kepler-263 b,2014,http://exoplanet.eu/catalog/kepler-263_b/
1087,Kepler-263,c,Transit,2,47.33277300,0.242000,,,,0.220,,,1,292.469757,37.567795,,,5265.00,,0.79,,,Kepler-263 c,2014,http://exoplanet.eu/catalog/kepler-263_c/
1088,Kepler-264,b,Transit,2,40.80623100,0.249000,,,,0.297,,,1,292.044617,37.376247,,,6158.00,1.3200,1.55,,,Kepler-264 b,2014,http://exoplanet.eu/catalog/kepler-264_b/
1089,Kepler-264,c,Transit,2,140.10126100,0.566000,,,,0.252,,,1,292.044617,37.376247,,,6158.00,1.3200,1.55,,,Kepler-264 c,2014,http://exoplanet.eu/catalog/kepler-264_c/
1090,Kepler-265,b,Transit,4,6.84626200,0.069000,,,,0.166,,,1,290.510468,41.244820,,,5835.00,1.0300,1.10,,,Kepler-265 b,2014,http://exoplanet.eu/catalog/kepler-265_b/
1091,Kepler-265,c,Transit,4,17.02893700,0.127000,,,,0.235,,,1,290.510468,41.244820,,,5835.00,1.0300,1.10,,,Kepler-265 c,2014,http://exoplanet.eu/catalog/kepler-265_c/
